file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/CardReloadAmountController.java,concordia.soen6611.igo_tvm.controllers.CardReloadAmountController$Anonymous2,anonymous,1,1,0,1,3,1,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/FareRateServiceImpl.java,concordia.soen6611.igo_tvm.Services.FareRateServiceImpl,class,3,3,0,3,4,1,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,4,0,0,0,0,1,0,2,1,2,0,0,0,0,83,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/FareRateService.java,concordia.soen6611.igo_tvm.Services.FareRateService,interface,0,5,5,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/CashSubmissionController.java,concordia.soen6611.igo_tvm.controllers.CashSubmissionController,class,21,22,1,21,23,1,0,49,0,0.76842105,0.0,0.0,10,0,3,7,0,0,3,0,0,0,18,0,0,18,0,0,3,0,10,134,0,0,3,3,2,15,14,27,4,43,2,0,0,5,258,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/models/OrderSummary.java,concordia.soen6611.igo_tvm.models.OrderSummary,class,0,5,5,0,7,1,0,0,9,0.7142858,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,6,0,0,34,6,0,0,0,0,0,0,6,0,6,0,0,0,0,100,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/BuyNewTicketController.java,concordia.soen6611.igo_tvm.controllers.BuyNewTicketController,class,29,30,1,29,64,1,0,75,235,0.91088176,0.0,0.0,26,1,3,23,0,0,3,0,0,0,33,1,2,31,0,0,1,0,14,295,17,0,20,5,3,64,13,39,10,89,2,0,0,7,363,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/IGoApplication.java,concordia.soen6611.igo_tvm.IGoApplication,class,9,10,1,9,4,2,0,13,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,0,0,0,0,0,2,4,4,0,4,0,0,0,0,104,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/HomeController.java,concordia.soen6611.igo_tvm.controllers.HomeController,class,28,29,1,28,36,1,0,68,134,0.9108694,0.0,0.0,20,0,3,17,0,0,3,0,0,0,21,1,0,21,0,0,3,0,7,228,2,0,7,5,2,56,17,41,1,65,1,0,0,5,292,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/HardwareException.java,concordia.soen6611.igo_tvm.exceptions.HardwareException,class,1,2,1,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/models/ExceptionDialog.java,concordia.soen6611.igo_tvm.models.ExceptionDialog,class,12,13,1,12,19,1,0,29,10,0.0,0.0,0.0,5,4,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,92,6,0,7,5,1,20,3,18,2,18,4,0,0,2,163,17,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/PaymentService.java,concordia.soen6611.igo_tvm.Services.PaymentService,class,2,4,2,2,6,1,0,1,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,20,1,0,2,0,0,3,0,1,0,1,1,0,0,0,88,1,0
